AverageDiscountedReturn,AvgTrajLen,StdReturn,MinReturn,CurStdMean,AverageReturn,Iteration,NumTrajs,MaxReturn
35.4188646776,63.4,63.4,8.0,1.26999444739,63.4,46,65,200.0
32.9201104695,57.2571428571,57.2571428571,8.0,1.25184844435,57.2571428571,47,70,200.0
40.4521268338,75.9811320755,75.9811320755,8.0,1.23593223579,75.9811320755,48,53,200.0
38.7134235035,71.0344827586,71.0344827586,8.0,1.2336854012,71.0344827586,49,58,200.0
35.5463669917,64.40625,64.40625,8.0,1.2084755347,64.40625,50,64,200.0
47.7890031872,96.3720930233,96.3720930233,8.0,1.20532005216,96.3720930233,51,43,200.0
41.4405515392,82.6734693878,82.6734693878,8.0,1.19956080363,82.6734693878,52,49,200.0
41.8141843845,83.3958333333,83.3958333333,8.0,1.18335284446,83.3958333333,53,48,200.0
46.0326926622,88.8888888889,88.8888888889,8.0,1.18110047403,88.8888888889,54,45,200.0
35.1125627279,65.064516129,65.064516129,8.0,1.17322190096,65.064516129,55,62,200.0
30.5571408373,52.7272727273,52.7272727273,8.0,1.14949389158,52.7272727273,56,77,200.0
34.2088946619,63.6060606061,63.6060606061,8.0,1.1461585477,63.6060606061,57,66,200.0
35.0549961193,66.5161290323,66.5161290323,8.0,1.1488330223,66.5161290323,58,62,200.0
35.1204883023,64.7301587302,64.7301587302,8.0,1.13370669077,64.7301587302,59,63,200.0
30.2391078264,54.4533333333,54.4533333333,8.0,1.12117602074,54.4533333333,60,75,200.0
35.6172478629,67.2666666667,67.2666666667,8.0,1.11305026834,67.2666666667,61,60,200.0
33.9238637688,59.9130434783,59.9130434783,8.0,1.0894633409,59.9130434783,62,69,200.0
37.355639959,66.1451612903,66.1451612903,8.0,1.08387930163,66.1451612903,63,62,200.0
37.5042530845,69.8813559322,69.8813559322,8.0,1.07188029732,69.8813559322,64,59,200.0
37.810208581,68.6885245902,68.6885245902,8.0,1.05687419071,68.6885245902,65,61,200.0
34.452975841,64.265625,64.265625,8.0,1.04523935866,64.265625,66,64,200.0
44.6146321677,88.5531914894,88.5531914894,8.0,1.03248954433,88.5531914894,67,47,200.0
47.8704300114,97.6341463415,97.6341463415,8.0,1.01810456772,97.6341463415,68,41,200.0
38.9899958568,74.4545454545,74.4545454545,8.0,0.994323410704,74.4545454545,69,55,200.0
54.1973266254,116.361111111,116.361111111,8.0,0.975771518571,116.361111111,70,36,200.0
46.4480676711,95.4285714286,95.4285714286,9.0,0.955575841358,95.4285714286,71,42,200.0
45.0112919989,93.2045454545,93.2045454545,8.0,0.94234730001,93.2045454545,72,44,200.0
48.8357051758,101.6,101.6,8.0,0.928817379554,101.6,73,40,200.0
46.7530871443,96.9069767442,96.9069767442,8.0,0.908543939111,96.9069767442,74,43,200.0
44.9727708819,91.7555555556,91.7555555556,8.0,0.886782753999,91.7555555556,75,45,200.0
45.6013767584,89.7555555556,89.7555555556,8.0,0.869154001885,89.7555555556,76,45,200.0
45.2249872032,91.7727272727,91.7727272727,8.0,0.856137961207,91.7727272727,77,44,200.0
50.6088450321,106.256410256,106.256410256,8.0,0.832238549599,106.256410256,78,39,200.0
44.9642360353,89.5111111111,89.5111111111,8.0,0.824107825499,89.5111111111,79,45,200.0
50.7284643063,104.05,104.05,9.0,0.815172525074,104.05,80,40,200.0
61.78529125,133.516129032,133.516129032,10.0,0.803834072542,133.516129032,81,31,200.0
53.4374346255,107.342105263,107.342105263,8.0,0.792216939581,107.342105263,82,38,200.0
55.4827310649,119.117647059,119.117647059,8.0,0.766792098063,119.117647059,83,34,200.0
68.9851538305,149.62962963,149.62962963,10.0,0.742932888071,149.62962963,84,27,200.0
65.3814144618,139.793103448,139.793103448,9.0,0.718152046556,139.793103448,85,29,200.0
57.672308931,125.0,125.0,8.0,0.698343825078,125.0,86,33,200.0
60.6221853527,130.34375,130.34375,8.0,0.678023771286,130.34375,87,32,200.0
74.3826216154,162.88,162.88,9.0,0.653955341945,162.88,88,25,200.0
71.200649964,160.192307692,160.192307692,9.0,0.630580438945,160.192307692,89,26,200.0
82.6943433463,188.272727273,188.272727273,17.0,0.606227084527,188.272727273,90,22,200.0
65.4090444233,140.655172414,140.655172414,9.0,0.581683416166,140.655172414,91,29,200.0
80.3909381572,175.739130435,175.739130435,10.0,0.554998394158,175.739130435,92,23,200.0
80.0570151625,178.347826087,178.347826087,8.0,0.522278974508,178.347826087,93,23,200.0
79.0197994052,178.260869565,178.260869565,10.0,0.494170446456,178.260869565,94,23,200.0
65.8462074359,144.142857143,144.142857143,8.0,0.467716098118,144.142857143,95,28,200.0
80.6555247791,181.130434783,181.130434783,8.0,0.43317392634,181.130434783,96,23,200.0
82.6553821247,185.318181818,185.318181818,44.0,0.401164289095,185.318181818,97,22,200.0
78.3308814881,174.695652174,174.695652174,9.0,0.365650249402,174.695652174,98,23,200.0
83.6018684534,187.590909091,187.590909091,57.0,0.327252295893,187.590909091,99,22,200.0
84.8126275646,191.619047619,191.619047619,92.0,0.274392373133,191.619047619,100,21,200.0
86.5758615908,199.80952381,199.80952381,196.0,0.230718495851,199.80952381,101,21,200.0
86.5758615908,199.80952381,199.80952381,196.0,0.1920069954,199.80952381,102,21,200.0
86.5202550852,199.428571429,199.428571429,188.0,0.161816837565,199.428571429,103,21,200.0
86.6020325142,200.0,200.0,200.0,0.136218916873,200.0,104,20,200.0
86.6020325142,200.0,200.0,200.0,0.115259661143,200.0,105,20,200.0
86.6020325142,200.0,200.0,200.0,0.095740354473,200.0,106,20,200.0
86.6020325142,200.0,200.0,200.0,0.0789603628592,200.0,107,20,200.0
86.6020325142,200.0,200.0,200.0,0.0655913153697,200.0,108,20,200.0
86.6020325142,200.0,200.0,200.0,0.0557546002049,200.0,109,20,200.0
86.6020325142,200.0,200.0,200.0,0.0476417109153,200.0,110,20,200.0
86.6020325142,200.0,200.0,200.0,0.0403982424993,200.0,111,20,200.0
86.6020325142,200.0,200.0,200.0,0.0338707479689,200.0,112,20,200.0
86.6020325142,200.0,200.0,200.0,0.0291877968488,200.0,113,20,200.0
86.6020325142,200.0,200.0,200.0,0.024356770596,200.0,114,20,200.0
86.6020325142,200.0,200.0,200.0,0.0207973504414,200.0,115,20,200.0
86.6020325142,200.0,200.0,200.0,0.0166436655419,200.0,116,20,200.0
86.6020325142,200.0,200.0,200.0,0.0137226379093,200.0,117,20,200.0
86.6020325142,200.0,200.0,200.0,0.0116602708152,200.0,118,20,200.0
86.6020325142,200.0,200.0,200.0,0.0096997726218,200.0,119,20,200.0
86.6020325142,200.0,200.0,200.0,0.00834022641976,200.0,120,20,200.0
86.6020325142,200.0,200.0,200.0,0.00703100782496,200.0,121,20,200.0
86.6020325142,200.0,200.0,200.0,0.00592637256173,200.0,122,20,200.0
86.6020325142,200.0,200.0,200.0,0.00489781438929,200.0,123,20,200.0
86.6020325142,200.0,200.0,200.0,0.00407900613184,200.0,124,20,200.0
86.6020325142,200.0,200.0,200.0,0.00342355846012,200.0,125,20,200.0
86.6020325142,200.0,200.0,200.0,0.00299818630275,200.0,126,20,200.0
86.6020325142,200.0,200.0,200.0,0.00247415607025,200.0,127,20,200.0
86.6020325142,200.0,200.0,200.0,0.00203597528385,200.0,128,20,200.0
86.6020325142,200.0,200.0,200.0,0.00167767564906,200.0,129,20,200.0
86.6020325142,200.0,200.0,200.0,0.00133395583685,200.0,130,20,200.0
86.6020325142,200.0,200.0,200.0,0.00112079328397,200.0,131,20,200.0
86.6020325142,200.0,200.0,200.0,0.000903140204968,200.0,132,20,200.0
86.6020325142,200.0,200.0,200.0,0.000746760339503,200.0,133,20,200.0
86.6020325142,200.0,200.0,200.0,0.000616259031857,200.0,134,20,200.0
86.6020325142,200.0,200.0,200.0,0.000528382341522,200.0,135,20,200.0
86.6020325142,200.0,200.0,200.0,0.000451625648543,200.0,136,20,200.0
86.6020325142,200.0,200.0,200.0,0.000363988938847,200.0,137,20,200.0
86.6020325142,200.0,200.0,200.0,0.000307162394342,200.0,138,20,200.0
86.6020325142,200.0,200.0,200.0,0.000256998436774,200.0,139,20,200.0
86.6020325142,200.0,200.0,200.0,0.000209689154934,200.0,140,20,200.0
86.6020325142,200.0,200.0,200.0,0.000169171804037,200.0,141,20,200.0
86.6020325142,200.0,200.0,200.0,0.000144940304118,200.0,142,20,200.0
86.6020325142,200.0,200.0,200.0,0.000124746966127,200.0,143,20,200.0
86.6020325142,200.0,200.0,200.0,0.000106973550371,200.0,144,20,200.0
86.6020325142,200.0,200.0,200.0,8.49392215235e-05,200.0,145,20,200.0
86.6020325142,200.0,200.0,200.0,7.23332714454e-05,200.0,146,20,200.0
86.6020325142,200.0,200.0,200.0,5.85164072194e-05,200.0,147,20,200.0
86.6020325142,200.0,200.0,200.0,4.67514834408e-05,200.0,148,20,200.0
86.6020325142,200.0,200.0,200.0,3.83619142643e-05,200.0,149,20,200.0
