NumTrajs,MeanKL,AverageReturn,Entropy,Iteration,LossBefore,Perplexity,MaxReturn,AverageDiscountedReturn,StdReturn,LossAfter,ExplainedVariance,MaxKL,MinReturn
206,0.00029014530907428625,19.5097087379,0.680442363571,0,0.022735639230073143,1.97475109699,72.0,17.408342343,10.0849499959,0.019721554343630196,1.35480959784e-10,0.0017748033575971343,9.0
205,0.0002932566671851371,19.5365853659,0.68368818697,1,0.017442865889838198,1.98117120394,86.0,17.4561818469,9.81511418115,0.01418637127173316,0.31773916335,0.001806782615091481,9.0
199,0.00028436254930142967,20.2613065327,0.686784777911,2,0.013109664681814138,1.98731558916,53.0,18.0795729946,9.30888484118,0.009823284362841774,0.381655419676,0.0018356380057726017,9.0
180,0.00026287240802370297,22.5277777778,0.689075385459,3,0.006716683842354752,1.99187296683,80.0,19.7239450171,11.9300882718,0.003658774890595875,0.202000523734,0.001924401205531518,9.0
192,0.0002493667333095522,20.8854166667,0.690659963347,4,0.003916633175716886,1.9950317467,105.0,18.4755991421,11.1269846466,0.0015748943537588947,0.253491037003,0.0018651181634801624,8.0
179,0.0002465495393639638,22.3798882682,0.691543478964,5,0.0030674705319067947,1.99679516729,64.0,19.6759051055,10.9784368635,-0.0005099123035573593,0.332892861477,0.0019120329009066177,9.0
173,0.0002644903655467883,23.225433526,0.692025108477,6,-0.0002455168049955225,1.99775711441,67.0,20.2169354854,12.623083748,-0.003720453484491764,0.299495950767,0.001963399531169127,9.0
176,0.00020910943565183906,22.9318181818,0.692050631493,7,-0.004076635864379936,1.99780810385,95.0,19.922270307,13.4930920496,-0.006735088785201134,0.251231811475,0.001773185831925133,9.0
166,0.00018924932172655553,24.2409638554,0.691557496619,8,-0.007142883480615639,1.99682315787,83.0,20.9489362013,13.4733922182,-0.009704975847688459,0.267198466018,0.001537297067575643,8.0
155,0.0001707347665855897,25.9290322581,0.690895233564,9,-0.007147841950150628,1.99550117347,97.0,22.0335801446,16.0157622672,-0.009231625553506963,0.228931241956,0.001620919044542781,8.0
161,0.00015153421149982798,25.0559006211,0.690069382725,10,-0.011760430020378755,1.99385386746,71.0,21.5955140853,13.3347947452,-0.014547270823987981,0.314915425518,0.0013820927675124474,10.0
168,0.000152492071738754,23.9523809524,0.688303378909,11,-0.014252414965218839,1.99033582128,92.0,20.6997388576,13.7727342462,-0.016792373083651977,0.252313401604,0.0013095179178703002,9.0
161,0.0001349249215012882,25.0807453416,0.687393648958,12,-0.01615219764571841,1.98852597653,76.0,21.6699300091,12.7975032286,-0.018633368563739768,0.342170614955,0.001150198918685754,10.0
141,0.00012054374540732164,28.7163120567,0.685936385785,13,-0.01472845584869638,1.98563028126,96.0,23.987396348,17.7249778646,-0.016713784912665557,0.236504147785,0.0011687251718874407,10.0
136,0.00012064749984196614,29.6323529412,0.683442891116,14,-0.018032869164145808,1.98068529046,90.0,24.8901456605,15.6175847456,-0.020027514428255695,0.2736013803,0.0010260539567021054,9.0
138,0.00011812583325112802,29.3768115942,0.681694314335,15,-0.020292889877166737,1.97722493637,118.0,24.4875313549,17.8436051544,-0.022580493834181106,0.253674843716,0.0009510689273243972,9.0
137,0.0001089174336460872,29.2408759124,0.680383497413,16,-0.02099654911432953,1.9746348544,133.0,24.4714102266,17.2014791197,-0.022990133970942125,0.255682330546,0.000938670870987604,9.0
132,0.00010532700935235581,30.3863636364,0.678519506384,17,-0.023934426762008347,1.97095758101,93.0,25.2497052858,17.5156413767,-0.026258541143657662,0.28840547811,0.0007569097764396453,11.0
122,0.00011248937515491842,32.8524590164,0.674851740554,18,-0.024550612461741318,1.96374181111,138.0,26.6113932743,21.4952042425,-0.02654076394589436,0.206691534141,0.0007584212553146258,10.0
112,0.00010096630189112612,35.8303571429,0.673060467303,19,-0.022997128296434854,1.96022736154,146.0,28.4953152549,24.2210388155,-0.024666012727315882,0.161592060759,0.0008297856024498361,10.0
126,9.740651268589348e-05,31.753968254,0.670981762432,20,-0.025648388525501147,1.95615685953,124.0,26.1022052066,19.3192421998,-0.027428562391140898,0.250264722355,0.000707323322128018,10.0
122,9.374273493280069e-05,32.8524590164,0.669062671347,21,-0.024381441252318514,1.95240641621,185.0,26.5002143425,23.3180687455,-0.026104493037721135,-0.0317261908272,0.00059375200688923,9.0
121,8.029997098270004e-05,33.2148760331,0.669844670515,22,-0.029154338723913903,1.95393379353,99.0,27.1377886358,19.1622936443,-0.03089769070296218,0.304354337476,0.0005793680804953086,9.0
108,8.715216003474042e-05,37.1759259259,0.666239307394,23,-0.02892532446327325,1.94690183669,100.0,29.7797285498,20.6791309652,-0.030813398450922864,0.32893510694,0.0005642916641743923,9.0
111,0.00010334396359651079,36.2162162162,0.665147072722,24,-0.0304245164767854,1.94477652388,148.0,28.986596782,21.9255108338,-0.032360793387257905,0.268023213928,0.000593685051825903,9.0
103,0.00010746775106502667,38.9029126214,0.658663641673,25,-0.031424362868801126,1.93220848541,158.0,30.6625097294,23.796269008,-0.033431949898098334,0.275612706589,0.0005729229500753639,9.0
108,0.0001060594561569467,37.1666666667,0.659230511254,26,-0.03854503074873826,1.93330410614,132.0,29.5769791332,22.5583605262,-0.04049653116576848,0.306789633089,0.0005329860798701444,11.0
101,9.13391777263629e-05,40.2178217822,0.659336868962,27,-0.030915617496569056,1.93350973886,131.0,31.3200513077,25.0601667914,-0.032548094584742435,0.286583342404,0.0005122350898815516,9.0
