MinReturn,CurStdMean,AverageReturn,Iteration,AvgTrajLen,AverageDiscountedReturn,MaxReturn,StdReturn
9.0,1.0,59.1764705882,35,59.1764705882,-38.2884021333,200.0,59.1764705882
10.0,1.0,69.406779661,36,69.406779661,-42.738003703,200.0,69.406779661
10.0,1.0,77.2307692308,37,77.2307692308,-46.1385112653,200.0,77.2307692308
9.0,1.0,82.3673469388,38,82.3673469388,-48.8796246031,200.0,82.3673469388
8.0,1.0,76.679245283,39,76.679245283,-46.1728103909,200.0,76.679245283
10.0,1.0,72.7857142857,40,72.7857142857,-44.5594728664,200.0,72.7857142857
10.0,1.0,82.8367346939,41,82.8367346939,-50.0651093217,200.0,82.8367346939
10.0,1.0,67.7,42,67.7,-43.3428970546,200.0,67.7
9.0,1.0,96.5238095238,43,96.5238095238,-53.6640214986,200.0,96.5238095238
8.0,1.0,62.703125,44,62.703125,-40.6832871247,200.0,62.703125
8.0,1.0,70.4385964912,45,70.4385964912,-41.9217117219,200.0,70.4385964912
11.0,1.0,94.1627906977,46,94.1627906977,-50.5914322525,200.0,94.1627906977
9.0,1.0,75.9433962264,47,75.9433962264,-44.6354752587,200.0,75.9433962264
9.0,1.0,84.2708333333,48,84.2708333333,-47.5012746841,200.0,84.2708333333
10.0,1.0,81.7,49,81.7,-47.7403800634,200.0,81.7
9.0,1.0,89.6222222222,50,89.6222222222,-51.1655163154,200.0,89.6222222222
8.0,1.0,91.0681818182,51,91.0681818182,-51.0172586323,200.0,91.0681818182
9.0,1.0,90.5111111111,52,90.5111111111,-51.8992335092,200.0,90.5111111111
9.0,1.0,101.05,53,101.05,-53.3453610761,200.0,101.05
9.0,1.0,109.710526316,54,109.710526316,-58.4221298614,200.0,109.710526316
8.0,1.0,100.0,55,100.0,-53.160254036,200.0,100.0
9.0,1.0,104.358974359,56,104.358974359,-57.1924025806,200.0,104.358974359
10.0,1.0,92.4,57,92.4,-50.4847042533,200.0,92.4
10.0,1.0,86.2291666667,58,86.2291666667,-48.6174395774,200.0,86.2291666667
9.0,1.0,102.974358974,59,102.974358974,-55.9558104379,200.0,102.974358974
8.0,1.0,113.916666667,60,113.916666667,-58.4499352836,200.0,113.916666667
9.0,1.0,109.486486486,61,109.486486486,-56.0152080284,200.0,109.486486486
8.0,1.0,109.594594595,62,109.594594595,-56.1503923346,200.0,109.594594595
8.0,1.0,106.717948718,63,106.717948718,-57.7888834107,200.0,106.717948718
8.0,1.0,119.411764706,64,119.411764706,-59.6947983126,200.0,119.411764706
10.0,1.0,104.051282051,65,104.051282051,-55.0164910214,200.0,104.051282051
10.0,1.0,124.303030303,66,124.303030303,-60.5623736885,200.0,124.303030303
9.0,1.0,121.852941176,67,121.852941176,-61.7307470765,200.0,121.852941176
9.0,1.0,115.0,68,115.0,-58.3955197559,200.0,115.0
12.0,1.0,129.903225806,69,129.903225806,-66.1823820714,200.0,129.903225806
13.0,1.0,133.064516129,70,133.064516129,-66.2314121883,200.0,133.064516129
10.0,1.0,126.0,71,126.0,-65.6830962813,200.0,126.0
9.0,1.0,90.2,72,90.2,-49.2509002041,200.0,90.2
10.0,1.0,116.028571429,73,116.028571429,-61.2767121086,200.0,116.028571429
9.0,1.0,103.871794872,74,103.871794872,-55.8590476737,200.0,103.871794872
9.0,1.0,141.931034483,75,141.931034483,-70.7389519999,200.0,141.931034483
9.0,1.0,136.5,76,136.5,-67.1267887002,200.0,136.5
11.0,1.0,126.21875,77,126.21875,-64.0265607513,200.0,126.21875
13.0,1.0,134.766666667,78,134.766666667,-65.6559185384,200.0,134.766666667
8.0,1.0,109.891891892,79,109.891891892,-57.4468001375,200.0,109.891891892
9.0,1.0,129.064516129,80,129.064516129,-62.6984690596,200.0,129.064516129
9.0,1.0,121.757575758,81,121.757575758,-60.8256008625,200.0,121.757575758
11.0,1.0,124.96969697,82,124.96969697,-63.7629332776,200.0,124.96969697
8.0,1.0,103.025641026,83,103.025641026,-56.2386257805,200.0,103.025641026
9.0,1.0,125.96875,84,125.96875,-62.5322375608,200.0,125.96875
9.0,1.0,97.0476190476,85,97.0476190476,-53.6706717877,200.0,97.0476190476
9.0,1.0,123.757575758,86,123.757575758,-63.4886273532,200.0,123.757575758
25.0,1.0,123.96969697,87,123.96969697,-65.0842129032,200.0,123.96969697
12.0,1.0,109.351351351,88,109.351351351,-60.5342452598,200.0,109.351351351
11.0,1.0,111.861111111,89,111.861111111,-59.5754733294,200.0,111.861111111
10.0,1.0,121.787878788,90,121.787878788,-63.3745056626,200.0,121.787878788
11.0,1.0,101.525,91,101.525,-56.0116787079,200.0,101.525
9.0,1.0,121.909090909,92,121.909090909,-60.4229478345,200.0,121.909090909
10.0,1.0,106.315789474,93,106.315789474,-59.8214396912,200.0,106.315789474
10.0,1.0,91.7272727273,94,91.7272727273,-51.310742935,200.0,91.7272727273
10.0,1.0,125.5,95,125.5,-65.7768875878,200.0,125.5
9.0,1.0,114.514285714,96,114.514285714,-61.4430881832,200.0,114.514285714
13.0,1.0,105.641025641,97,105.641025641,-58.5011618507,200.0,105.641025641
10.0,1.0,100.1,98,100.1,-53.4307497614,200.0,100.1
9.0,1.0,114.342857143,99,114.342857143,-59.8202420908,200.0,114.342857143
10.0,1.0,116.942857143,100,116.942857143,-59.5482826367,200.0,116.942857143
9.0,1.0,122.575757576,101,122.575757576,-62.5637648093,200.0,122.575757576
9.0,1.0,126.939393939,102,126.939393939,-63.4676263988,200.0,126.939393939
10.0,1.0,129.53125,103,129.53125,-63.31336158,200.0,129.53125
8.0,1.0,105.973684211,104,105.973684211,-57.9792715824,200.0,105.973684211
10.0,1.0,117.705882353,105,117.705882353,-61.077623181,200.0,117.705882353
10.0,1.0,150.148148148,106,150.148148148,-72.885374356,200.0,150.148148148
8.0,1.0,101.625,107,101.625,-53.8201342675,200.0,101.625
9.0,1.0,137.433333333,108,137.433333333,-66.7389705694,200.0,137.433333333
9.0,1.0,108.27027027,109,108.27027027,-56.5404686463,200.0,108.27027027
9.0,1.0,112.027027027,110,112.027027027,-57.4053327092,200.0,112.027027027
9.0,1.0,117.941176471,111,117.941176471,-60.6082264594,200.0,117.941176471
10.0,1.0,108.973684211,112,108.973684211,-59.1052278065,200.0,108.973684211
9.0,1.0,122.117647059,113,122.117647059,-61.4426808667,200.0,122.117647059
11.0,1.0,125.84375,114,125.84375,-63.997995888,200.0,125.84375
12.0,1.0,110.473684211,115,110.473684211,-58.5802736405,200.0,110.473684211
8.0,1.0,114.361111111,116,114.361111111,-59.6566717313,200.0,114.361111111
8.0,1.0,102.268292683,117,102.268292683,-53.8975159288,200.0,102.268292683
9.0,1.0,83.8541666667,118,83.8541666667,-49.385520422,200.0,83.8541666667
8.0,1.0,95.7674418605,119,95.7674418605,-50.1230834185,200.0,95.7674418605
8.0,1.0,111.5,120,111.5,-57.2964842373,200.0,111.5
