Perplexity,MeanKL,ExplainedVariance,Iteration,AverageDiscountedReturn,Entropy,LossBefore,LossAfter,NumTrajs,MinReturn,AverageReturn,StdReturn,MeanKLBefore,dLoss,MaxReturn
1.97203566445,0.00316974728152,1.67766800452e-10,0,17.3180219793,0.679066341437,-3.57904482777e-17,-0.00335355718471,208,9.0,19.2980769231,8.84251074649,-3.58464989059e-18,0.00335355718471,51.0
1.95645041021,-2.83875646901e-20,0.231178177579,1,18.6808999727,0.671131816175,1.72984375508e-16,1.72984375508e-16,189,9.0,21.2169312169,11.6882127166,-2.83875646901e-20,0.0,75.0
1.95535047879,0.00875561021756,0.337347275607,2,17.0576160636,0.670569450408,1.74063662035e-16,-0.027095577408,212,8.0,18.9858490566,8.94294218058,-1.36981857016e-19,0.027095577408,72.0
1.96154588414,-5.8001450545e-19,0.251889572234,3,21.8919424828,0.673732878769,2.5290260017e-17,2.5290260017e-17,157,8.0,25.5286624204,14.146891135,-5.8001450545e-19,0.0,72.0
1.96344209417,-1.80803398886e-18,0.342004329422,4,19.947375529,0.674699103475,1.38434538449e-17,1.38434538449e-17,178,8.0,22.7078651685,10.9073753495,-1.80803398886e-18,0.0,65.0
1.9607650625,2.39565808306e-19,0.217677587466,5,20.7350700385,0.673334735089,6.66827704165e-17,6.66827704165e-17,167,9.0,23.9520958084,13.3720632831,2.39565808306e-19,0.0,96.0
1.96220014757,-1.19725331445e-18,0.311098309447,6,22.0836109037,0.674066367955,-3.2899599732e-17,-3.2899599732e-17,156,9.0,25.6987179487,13.4904619068,-1.19725331445e-18,0.0,84.0
1.9580317722,6.84402570809e-19,0.276072981078,7,21.7660781058,0.67193977084,3.33344463144e-17,3.33344463144e-17,158,9.0,25.3164556962,13.8596439063,6.84402570809e-19,0.0,104.0
1.95701433273,2.057044898e-18,0.295952579571,8,21.536305461,0.671420012215,1.61790325024e-16,1.61790325024e-16,161,8.0,25.0062111801,13.7657856961,2.057044898e-18,0.0,103.0
1.95653313104,9.71987052733e-19,0.265041483195,9,21.5836906833,0.671174096354,7.5498483074e-17,7.5498483074e-17,160,9.0,25.1,13.9603008564,9.71987052733e-19,0.0,85.0
1.96428086865,2.25452739982e-19,0.35639085841,10,21.5374208763,0.675126208186,1.40305264087e-16,1.40305264087e-16,162,9.0,24.7901234568,11.7338973448,2.25452739982e-19,0.0,81.0
1.96329271163,0.00988206587429,0.377308535253,11,20.1541289198,0.674623018612,7.52131164877e-17,-0.0321359290835,175,9.0,22.9428571429,10.706320849,-6.50916765952e-19,0.0321359290835,64.0
1.9373380155,0.00969248848323,0.0894662229238,12,27.4042378942,0.661314873845,-3.92941021073e-17,-0.0272304886931,120,10.0,33.7166666667,19.845311509,1.55176945137e-18,0.0272304886931,96.0
1.90073349335,0.00850030871834,0.143522400997,13,40.7107466396,0.642239860808,2.92754912019e-17,-0.0216072203186,71,11.0,57.0985915493,33.8264647329,2.20196808312e-19,0.0216072203186,189.0
1.84557708614,0.00745866704342,0.298850305507,14,50.1549363558,0.6127920124,-1.29702245417e-16,-0.020292574208,55,13.0,74.4545454545,33.1551823355,-1.50540789787e-18,0.020292574208,157.0
1.81052409584,0.0073854305698,0.439640674001,15,62.2222786143,0.593616359078,1.47002007228e-16,-0.0145179548349,38,15.0,106.131578947,42.6831478225,-3.03123425861e-19,0.0145179548349,200.0
1.78478514653,0.00695099981104,0.679787539286,16,72.6465235224,0.579298041896,4.90029472938e-17,-0.0121167091445,30,71.0,135.333333333,35.9410010372,2.96094961363e-19,0.0121167091445,200.0
1.76068043702,0.00556102621684,0.816399387318,17,79.5726927939,0.565700346279,-5.91071826215e-17,-0.0118893703156,25,98.0,161.16,24.7785068154,5.47517676282e-19,0.0118893703156,200.0
1.75770575892,0.00601466146025,0.790027678879,18,80.2705154423,0.564009412629,-3.65060057871e-17,-0.0105924841834,25,101.0,167.12,32.5850517876,1.60397938352e-19,0.0105924841834,200.0
1.74604551345,0.00626096651426,0.894227835954,19,83.9907400684,0.557353524347,-4.12571789338e-17,-0.0101057804628,22,137.0,184.454545455,20.1307708219,2.45752855801e-19,0.0101057804628,200.0
1.74711681846,0.00524223647434,0.957160195744,20,85.0865418244,0.557966896954,9.85510003886e-17,-0.0079943101432,21,143.0,190.761904762,16.085796047,-7.79323818806e-19,0.0079943101432,200.0
1.73568716769,0.00694308433698,0.962659541408,21,85.2840489417,0.551403397057,8.06430654703e-18,-0.00809347333772,21,165.0,191.428571429,12.104982951,1.26379503046e-18,0.00809347333772,200.0
1.71750972605,0.00477602376939,0.967213207002,22,85.5260242349,0.540875408008,2.04521972724e-17,-0.00681890171484,21,160.0,193.095238095,12.0471484945,7.24553473017e-19,0.00681890171484,200.0
1.72174142013,0.00542383074411,0.980456092651,23,86.4776189983,0.543336232202,1.72069964113e-16,-0.00470269796652,21,195.0,199.095238095,1.71560795568,-8.86703854565e-19,0.00470269796652,200.0
1.71667443759,0.00406711869593,0.991905283294,24,86.3804690693,0.540388952751,-2.86503583843e-16,-0.00517285634868,21,175.0,198.523809524,5.36850646623,-2.62627932542e-19,0.00517285634868,200.0
1.71782460894,0.00802696811301,0.984681123908,25,86.2149667173,0.541058728097,1.78875214349e-16,-0.0106666051657,21,168.0,197.476190476,7.54427596084,-2.30676837325e-19,0.0106666051657,200.0
1.71640456508,0.00602646194271,0.998345420013,26,86.6020325142,0.540231733817,-9.58122470252e-17,-0.0104799648444,20,200.0,200.0,0.0,5.1991840543e-19,0.0104799648444,200.0
1.72654642141,0.00643636321792,0.999971249099,27,86.6020325142,0.546123125066,2.98649993624e-17,-0.00796972907718,20,200.0,200.0,0.0,-1.33730541655e-19,0.00796972907718,200.0
1.70272072836,0.00674129819404,0.99997146541,28,86.6020325142,0.53222740019,2.30926389122e-17,-0.00832135060617,20,200.0,200.0,0.0,-1.88707720009e-20,0.00832135060617,200.0
