dLoss,AverageReturn,NumTrajs,LossAfter,AverageDiscountedReturn,MaxReturn,MeanKLBefore,Iteration,StdReturn,MinReturn,LossBefore,Perplexity,ExplainedVariance,Entropy,MeanKL
0.0155772071147,19.3076923077,208,-0.0155772071147,17.305025925,61.0,-3.51927284967e-19,0,9.22535899143,8.0,3.46115345326e-16,1.97320829574,1.50827905721e-10,0.679660794575,0.00544219083644
0.0201730648722,22.7784090909,176,-0.0201730648722,19.8428374516,95.0,3.04481519574e-19,1,12.906208415,9.0,-1.6243485036e-16,1.98581680104,-0.00331949643236,0.686030316172,0.00723323091514
0.0288794450012,26.5761589404,151,-0.0288794450012,22.7870569839,74.0,-9.1440351979e-19,2,13.313557839,10.0,5.87618665413e-17,1.97910350508,0.320035543032,0.682643966963,0.00801836789852
0.0217040520615,41.2680412371,97,-0.0217040520615,31.7578646999,121.0,1.97560042143e-18,3,26.4573243085,9.0,-3.81630497598e-17,1.93994914997,0.180116080965,0.662661761375,0.00790696255796
0.0196325701653,55.4383561644,73,-0.0196325701653,39.726859361,162.0,1.36130018314e-18,4,33.8242785064,14.0,-1.37714840218e-17,1.90039166997,0.171841735189,0.642060007016,0.0069773097203
0.0128593773216,85.3404255319,47,-0.0128593773216,54.9552904844,200.0,9.1569753231e-20,5,35.269344531,15.0,-5.30148101933e-17,1.8670654559,0.340058392643,0.624367923346,0.0069335118458
0.00966279625392,108.783783784,37,-0.00966279625392,64.4594587147,166.0,-6.7473772765e-19,6,33.6412995339,21.0,1.53693483061e-16,1.83221175157,0.601305980667,0.605523844489,0.00573642913784
0.0120391226624,106.763157895,38,-0.0120391226624,63.7602065666,195.0,7.36142575602e-19,7,35.9600906053,51.0,-4.10039542648e-17,1.80324035595,0.529751849838,0.589585244241,0.00600292432765
0.0112500035181,117.857142857,35,-0.0112500035181,67.7051304569,200.0,1.17983632175e-18,8,34.9956265489,72.0,-1.81672858575e-18,1.78559794175,0.596532833572,0.579753340511,0.00688578594417
0.00906981316249,125.40625,32,-0.00906981316249,69.739319029,200.0,2.44562141163e-18,9,36.8186937701,56.0,-1.20345630628e-16,1.79743553847,0.577773287484,0.586360948201,0.00649171609268
0.00792118542112,134.366666667,30,-0.00792118542112,72.5324349876,200.0,6.94830498174e-19,10,34.8792998146,72.0,1.38812305733e-17,1.77963568534,0.693032341253,0.576408672198,0.00670876520831
0.00639801939094,134.133333333,30,-0.00639801939094,72.5659729308,200.0,-2.13131388413e-18,11,34.3401934894,85.0,9.18748178927e-17,1.74475265593,0.674449115853,0.556612801153,0.00655009647583
0.00854172178046,144.071428571,28,-0.00854172178046,74.9417639238,200.0,1.44733416551e-18,12,35.598884986,80.0,1.18260494219e-16,1.7490755476,0.758370218614,0.559087389842,0.00609631073331
0.0139172489695,150.407407407,27,-0.0139172489695,77.0908716852,200.0,1.42959636217e-18,13,28.1349384209,110.0,1.78603472541e-16,1.72207642979,0.813378170493,0.543530789333,0.0076746833063
0.0053277175821,154.615384615,26,-0.0053277175821,77.6807473851,200.0,3.76492073928e-18,14,32.3467712371,77.0,-2.43862420583e-17,1.72137394308,0.797546818565,0.54312277607,0.004198740422
0.00697768642978,140.586206897,29,-0.00697768642978,74.6704594405,200.0,-1.11188037639e-18,15,28.8772876286,92.0,1.91926707814e-16,1.70959646975,0.735990371256,0.536257360064,0.00541750409958
0.00682511615486,149.535714286,28,-0.00682511615486,76.5326449009,200.0,2.63095154561e-18,16,33.2807131436,88.0,-2.02422798423e-16,1.70066555674,0.763895219532,0.531019678408,0.00579078727617
0.00716319211335,156.230769231,26,-0.00716319211335,78.1442703662,200.0,4.36451872161e-19,17,30.2785881343,69.0,-1.02002765335e-16,1.69640107561,0.810133533036,0.528508992671,0.00580828311597
0.00974183189857,160.0,26,-0.00974183189857,79.0194208072,200.0,1.33018771549e-18,18,29.6466368569,93.0,6.12677643662e-16,1.66652820204,0.796071292149,0.510742541536,0.00514550584424
0.00968963199328,161.12,25,-0.00968963199328,79.3690270106,200.0,-1.7768505158e-18,19,28.11166306,98.0,-1.94426842495e-16,1.65027781369,0.803140650955,0.500943645671,0.00697968308067
0.00701453090908,160.230769231,26,-0.00701453090908,79.3601351446,200.0,1.38793446808e-19,20,25.0895437802,108.0,1.74821484434e-17,1.64385721916,0.821392139464,0.497045443203,0.00763877537154
0.00660225780098,166.28,25,-0.00660225780098,80.6506943692,200.0,2.91415173697e-19,21,23.8805695074,123.0,5.01029202357e-17,1.62393848076,0.890844797099,0.484854359715,0.00633972938378
0.00675912249322,152.740740741,27,-0.00675912249322,77.6596919416,200.0,7.14961151882e-19,22,26.4849259609,96.0,7.04253984583e-17,1.60735821803,0.819779473487,0.474591972949,0.00473559128857
0.00772780632647,163.88,25,-0.00772780632647,79.9788897131,200.0,1.66077645667e-18,23,27.8931102604,120.0,-4.96985361768e-17,1.60420094072,0.858493657941,0.472625776362,0.00589317789882
0.00633937881532,165.72,25,-0.00633937881532,80.4501246241,200.0,1.51804686764e-18,24,25.9145055905,129.0,1.79007719153e-17,1.62078075019,0.87441981493,0.482907977707,0.00474045859599
0.00657531298201,155.230769231,26,-0.00657531298201,78.5373329867,200.0,-1.30860061225e-18,25,20.627292772,120.0,1.59078784723e-16,1.61668427173,0.902113589631,0.480377305953,0.0060905615121
0.00681383344387,165.36,25,-0.00681383344387,80.5326855287,200.0,1.69075061039e-18,26,22.7681883337,127.0,2.95817770108e-17,1.61703457075,0.906524397541,0.480593959927,0.004703186861
