AverageReturn,ExplainedVariance,MinReturn,DualAfter,NumTrajs,MeanKL,AverageDiscountedReturn,Perplexity,LossBefore,DualBefore,Iteration,MaxReturn,Entropy,LossAfter,StdReturn
19.4541062802,1.37865829863e-10,9.0,8.219748138800428,207,0.0032509265931718345,17.3764855037,1.97459023683,0.6510915817416598,8.472177200295507,0,73.0,0.680360901803,0.6478168400605416,9.91103274614
19.5194174757,0.340482228435,8.0,7.967853449489825,206,0.01224331119601929,17.4401315979,1.97345362543,0.6407261024365154,8.220256368823224,1,76.0,0.679785117204,0.6301165080322383,9.85512097183
18.7990654206,0.265855658405,8.0,7.714126545595963,214,0.01216506938131899,16.8898037109,1.94167137805,0.6394175352616555,7.966777038065613,2,85.0,0.663549137242,0.6276133895446332,9.1876491184
18.971563981,0.421496605273,8.0,7.462404647996291,211,0.01941381648744745,17.0963865149,1.92077981995,0.6229084978875564,7.715052470972564,3,59.0,0.652731259803,0.6043760409931829,8.10822219862
18.6046511628,0.448298595452,8.0,7.2097049716412975,215,0.01946173178803492,16.8372812695,1.87450974565,0.6031133644716463,7.4626355005782825,4,57.0,0.628347156247,0.5840045861777318,7.32609079071
18.6093023256,0.424507643728,8.0,1.0458166653073837,215,0.13770138294994597,16.8093590597,1.83830485569,0.1545457663719617,7.209650757521673,5,63.0,0.608843872908,0.12577173363161295,7.87908075011
25.9161290323,0.215041370381,10.0,1.0595659020911068,155,0.09034592218027902,22.2971257598,1.77113570631,0.15765824189649655,1.0595659020911068,6,89.0,0.571620982802,0.13473240629721742,13.2815442353
37.8411214953,0.162714374447,13.0,1.063215864250805,107,0.04679456029148321,30.1646845352,1.67678551326,0.15319941673995036,1.063215864250805,7,111.0,0.516878575592,0.13913271398262844,21.5072904539
43.0322580645,0.278097759977,16.0,1.0636684714242255,93,0.0381052013475401,33.4234638136,1.59543283273,0.1427648248572895,1.0636684714242255,8,133.0,0.467145067905,0.13196614758448127,23.7013005464
48.4642857143,0.289025610395,20.0,1.0641808572014906,84,0.02929219748292078,36.9622703422,1.54149350105,0.1638369712730032,1.0641808572014906,9,135.0,0.432751752347,0.15189489174340828,23.8659183319
58.9565217391,0.281771341036,25.0,1.0647919872401004,69,0.022532051060692698,42.6579267084,1.49557468135,0.14171577061846477,1.0647919872401004,10,170.0,0.40251053522,0.13387681219008288,28.3285254826
57.323943662,0.245016404326,26.0,1.064870515590574,71,0.021517619799930596,41.6449274822,1.47519655228,0.1284010624619506,1.064870515590574,11,170.0,0.388791236698,0.12149407898222114,29.4574291296
67.7333333333,0.378593064531,26.0,1.0641479017533508,60,0.00817784461432271,47.0669917759,1.4518287534,0.14539978488208094,1.0641479017533508,12,189.0,0.372823971018,0.14142686259191267,32.0769214372
67.1833333333,0.508851775276,32.0,1.0637759744402229,60,0.004234206677222278,47.2272578579,1.44964259389,0.12617977433157684,1.0637759744402229,13,195.0,0.371317039078,0.1245268002202252,28.9577230152
67.25,0.562041250586,32.0,1.0646359403682486,60,0.013053287829029049,47.6116171551,1.44234257959,0.15936602856724658,1.0646359403682486,14,129.0,0.36626858318,0.15346000154046863,24.8995481887
79.2692307692,0.453553797815,37.0,1.0619673532832117,52,0.00693354646804321,52.820210664,1.44549863468,0.13540202138287363,1.0619673532832117,15,200.0,0.368454337945,0.13275866815729223,32.7643775749
88.4042553191,0.608503766068,37.0,1.0651421498376055,47,0.005098882529785245,56.6883862186,1.42742223651,0.1250930004574015,1.0651421498376055,16,190.0,0.355870185768,0.12319854723711864,33.7416086176
82.9387755102,0.631179984989,39.0,1.0655314185189695,49,0.008167413326927681,54.9176931104,1.42248492094,0.14736585233476102,1.0655314185189695,17,160.0,0.352405286571,0.14368935085845244,28.094162487
79.0980392157,0.693305811149,47.0,1.0655263755141384,51,0.0052534787806001355,53.6920059572,1.42006619099,0.12611908212088346,1.0655263755141384,18,170.0,0.350703483902,0.12386516462231861,23.803323958
